Sr No,Symbol,Security Name,Market Cap (INR)              
331,BAJAJELEC,BAJAJ ELECT.LTD          ,46906656123.20
332,RAYMOND,RAYMOND LTD              ,46302647214.90
333,VMART,VMART RETAIL LTD         ,46163641519.95
334,GESHIP,THE GE SHPG.LTD          ,45647756428.75
335,VAKRANGEE,VAKRANGEE LIMITED        ,45475592715.50
336,TEAMLEASE,TEAMLEASE SERVICES LTD.  ,45300453980.85
337,GULFOILLUB,GULF OIL LUB. IND. LTD.  ,45102560466.15
338,SHOPERSTOP,SHOPPERS STOP LIMITED    ,45099237596.40
339,MONSANTO,MONSANTO INDIA LIMITED   ,44862429502.40
340,SOBHA,SOBHA LIMITED            ,44767242616.00
341,TCNSBRANDS,TCNS CLOTHING CO. LIMITED,44520023930.20
342,CEATLTD,CEAT LIMITED             ,43930822416.60
343,DBL,DILIP BUILDCON LIMITED   ,43916772504.80
344,ANDHRABANK,ANDHRA BANK              ,43905098419.75
345,DISHTV,DISH TV INDIA LTD.       ,43545655988.45
346,HINDCOPPER,HINDUSTAN COPPER LTD     ,42883854300.00
347,DHFL,DEWAN HOUSING FIN CORP LT,42645228516.90
348,TIMKEN,TIMKEN INDIA LTD.        ,42513628456.80
349,MOIL,MOIL LIMITED             ,41590954967.60
350,ECLERX,ECLERX SERVICES LTD      ,41570560479.75
351,STAR,STRIDES PHARMA SCI LTD   ,41313391012.55
352,RATNAMANI,RATNAMANI MET & TUB LTD. ,41188395600.00
353,GPPL,GUJARAT PIPAVAV PORT LTD ,41068220354.50
354,EQUITAS,EQUITAS HOLDINGS LIMITED ,40936135247.05
355,LINDEINDIA,LINDE INDIA LIMITED      ,40629403837.20
356,RAIN,RAIN INDUSTRIES LIMITED  ,40327846912.10
357,SPARC,SUN PHARMA ADV.RES.CO.LTD,40199282833.50
358,MMTC,MMTC LIMITED             ,40125000000.00
359,ASTRAZEN,ASTRAZENECA PHARMA IND LT,40042500000.00
360,KSCL,KAVERI SEED CO. LTD.     ,39701544293.10
361,GALAXYSURF,GALAXY SURFACTANTS LTD   ,39684503913.60
362,LAURUSLABS,LAURUS LABS LIMITED      ,39413528154.70
363,OMAXE,OMAXE LIMITED            ,38820639615.00
364,STARCEMENT,STAR CEMENT LIMITED      ,38778682222.50
365,NH,NARAYANA HRUDAYALAYA LTD.,38716154317.80
366,GSFC,GUJ STATE FERT & CHEM LTD,38692168163.00
367,NETWORK18,NETWORK18 MEDIA & INV LTD,38265968369.45
368,ELGIEQUIP,ELGI EQUIPMENTS LTD      ,38044927370.80
369,KPRMILL,KPR MILL LTD.            ,38032734933.60
370,MAHABANK,BANK OF MAHARASHTRA      ,37807511621.85
371,BIRLACORPN,BIRLA CORPORATION LTD    ,37432299176.70
372,GUJALKALI,GUJARAT ALKALIES & CHEM  ,37200015073.00
373,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD ,36865131797.60
374,IRCON,IRCON INTERNATIONAL LTD  ,36656600966.50
375,PNCINFRA,PNC INFRATECH LTD.       ,36351599680.50
376,CENTURYPLY,CENTURY PLYBOARDS (I) LTD,36092002225.50
377,CHENNPETRO,CHENNAI PETROLEUM CORP LT,36058895510.00
378,PRSMJOHNSN,PRISM JOHNSON LIMITED    ,35964827641.00
379,EIDPARRY,EID PARRY INDIA LTD      ,35823784154.40
380,EXCELCROP,EXCEL CROP CARE LTD      ,35703364283.00
381,CCL,CCL PRODUCTS (I) LTD     ,35658133956.00
382,TRITURBINE,TRIVENI TURBINE LIMITED  ,35109036760.00
383,JKLAKSHMI,JK LAKSHMI CEMENT LTD    ,35071563171.30
384,VENKEYS,VENKY'S (INDIA) LIMITED  ,34911233597.00
385,RCF,RASHTRIYA CHEMICALS & FER,34894272325.00
386,MAHLOG,MAHINDRA LOGISTIC LIMITED,34466719695.20
387,UNITEDBNK,UNITED BANK OF INDIA     ,34466434053.75
388,ESSELPACK,ESSEL PROPACK LTD        ,34286612347.50
389,FINEORG,FINE ORGANIC IND. LTD.   ,34262523180.00
390,UJJIVAN,UJJIVAN FIN. SERVC. LTD. ,34098020352.00
391,TRIDENT,TRIDENT LIMITED          ,34015504097.25
392,KTKBANK,KARNATAKA BANK LIMITED   ,33924656760.00
393,FSL,FIRSTSOURCE SOLU. LTD.   ,33876984834.00
394,IBREALEST,INDIABULLS REAL EST. LTD ,33812375513.60
395,SONATSOFTW,SONATA SOFTWARE LTD      ,33761395191.30
396,SADBHAV,SADBHAV ENGINEERING LTD  ,33670769500.00
397,ASHOKA,ASHOKA BUILDCON LTD      ,33602569074.90
398,HEIDELBERG,HEIDELBERGCEMENT (I) LTD ,33550071823.80
399,DCAL,DISHMAN CARBO AMCIS LTD  ,33481241726.40
400,CANFINHOME,CAN FIN HOMES LTD        ,33381739137.50
401,IFBIND,IFB INDUSTRIES LTD       ,33087648813.60
402,BEML,BEML LIMITED             ,33071979675.00
403,RCOM,RELIANCE COMMUNICATIONS L,32495013337.50
404,DBCORP,D.B.CORP LTD             ,32445846285.00
405,JUSTDIAL,JUSTDIAL LTD.            ,32154262472.90
406,MINDACORP,MINDA CORPORATION LTD    ,31958814385.25
407,GAYAPROJ,GAYATRI PROJECTS LTD     ,31908015858.25
408,CERA,CERA SANITARYWARE LTD    ,31604273820.00
409,RALLIS,RALLIS INDIA LTD         ,31183086511.50
410,NESCO,NESCO LTD.               ,31153871314.00
411,NAVINFLUOR,NAVIN FLUORINE INT. LTD  ,31086258735.00
412,SHILPAMED,SHILPA MEDICARE LTD      ,30988374690.00
413,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD ,30957177193.30
414,BSE,BSE LIMITED              ,30527027228.90
415,LUXIND,LUX INDUSTRIES LIMITED   ,30508149300.00
416,JAGRAN,JAGRAN PRAKASHAN LIMITED ,30485956612.65
417,JISLJALEQS,JAIN IRRIGATION SYSTEMS  ,30278329233.00
418,PHILIPCARB,PHILIPS CARBON BLACK LTD ,30176359286.00
